scenario	method	evaluated	recall@1	recall@50	recall@100	recall@200	recall@1_pooled_zero	recall@1_pooled_low	recall@1_pooled_medium	recall@1_pooled_high	recall@50_pooled_zero	recall@50_pooled_low	recall@50_pooled_medium	recall@50_pooled_high	recall@100_pooled_zero	recall@100_pooled_low	recall@100_pooled_medium	recall@100_pooled_high	recall@200_pooled_zero	recall@200_pooled_low	recall@200_pooled_medium	recall@200_pooled_high	evaluated_pooled_zero	evaluated_pooled_low	evaluated_pooled_medium	evaluated_pooled_high	recall@1_label_zero	recall@1_label_low	recall@1_label_medium	recall@1_label_high	skipped_src_missing	skipped_tgt_missing
hp_mp	Fine-tuned SapBERT (no boost)	1561	0.4676489429852659	0.8757206918641897	0.9122357463164638	0.9391415759128764	0.07432432432432433	0.3526570048309179	0.6931330472103004	0.8739495798319328	0.581081081081081	0.8490338164251208	0.9849785407725322	1.0	0.6621621621621622	0.8985507246376812	0.9935622317596566	1.0	0.7027027027027027	0.9396135265700483	0.9978540772532188	1.0	148	828	466	119	0.3182897862232779	0.22756410256410256	0.4681933842239186	0.7839080459770115	1	2
hp_mp	LeonMap (fine-tuned + boost)	1561	0.5060858424087123	0.8757206918641897	0.9122357463164638	0.9391415759128764	0.07432432432432433	0.38405797101449274	0.7553648068669528	0.9159663865546218	0.581081081081081	0.8490338164251208	0.9849785407725322	1.0	0.6621621621621622	0.8985507246376812	0.9935622317596566	1.0	0.7027027027027027	0.9396135265700483	0.9978540772532188	1.0	148	828	466	119	0.32066508313539194	0.23717948717948717	0.48091603053435117	0.9011494252873563	1	2
mesh_mondo	BM25	957	0.7042842215256009	0.9487983281086729	0.9582027168234065	0.9686520376175548	0.0	0.5109489051094891	0.8269794721407625	0.9578947368421052	0.0	0.9172749391727494	1.0	1.0	0.0	0.9391727493917275	1.0	1.0	0.0	0.9635036496350365	1.0	1.0	15	411	341	190	0.38596491228070173	0.7280701754385965	0.6482758620689655	0.7756849315068494	257	0
mesh_mondo	TF-IDF	956	0.6736401673640168	0.9571129707112971	0.9665271966527197	0.9748953974895398	0.0	0.45255474452554745	0.7976539589442815	0.9789473684210527	0.0	0.9367396593673966	0.9970674486803519	1.0	0.0	0.9586374695863747	0.9970674486803519	1.0	0.0	0.975669099756691	1.0	1.0	14	411	341	190	0.36283185840707965	0.7368421052631579	0.6620689655172414	0.7243150684931506	258	0
mesh_mondo	Base SapBERT	957	0.38662486938349006	0.7429467084639498	0.7774294670846394	0.8140020898641588	0.2	0.2944038929440389	0.35777126099706746	0.6526315789473685	0.4	0.6909975669099757	0.7595307917888563	0.8526315789473684	0.4666666666666667	0.732360097323601	0.7976539589442815	0.8631578947368421	0.4666666666666667	0.7761557177615572	0.8299120234604106	0.8947368421052632	15	411	341	190	0.23684210526315788	0.2982456140350877	0.296551724137931	0.4554794520547945	257	0
mesh_mondo	Base SapBERT + boost	957	0.6739811912225705	0.7857889237199582	0.800417972831766	0.8140020898641588	0.2	0.5766423357664233	0.7243401759530792	0.8315789473684211	0.4	0.7299270072992701	0.8123167155425219	0.8894736842105263	0.4666666666666667	0.7518248175182481	0.8240469208211144	0.8894736842105263	0.4666666666666667	0.7761557177615572	0.8299120234604106	0.8947368421052632	15	411	341	190	0.37719298245614036	0.5526315789473685	0.4413793103448276	0.8133561643835616	257	0
mesh_mondo	Fine-tuned SapBERT (no boost)	957	0.7951933124346917	0.9853709508881923	0.9905956112852664	0.9926854754440961	0.26666666666666666	0.6861313868613139	0.8680351906158358	0.9421052631578948	0.6	0.9805352798053528	1.0	1.0	0.7333333333333333	0.9878345498783455	1.0	1.0	0.7333333333333333	0.9927007299270073	1.0	1.0	15	411	341	190	0.5263157894736842	0.7719298245614035	0.7724137931034483	0.8578767123287672	257	0
mesh_mondo	LeonMap (fine-tuned + boost)	957	0.8704284221525601	0.9864158829676071	0.9916405433646813	0.9926854754440961	0.26666666666666666	0.8004866180048662	0.9325513196480938	0.9578947368421052	0.6	0.9829683698296837	1.0	1.0	0.7333333333333333	0.9902676399026764	1.0	1.0	0.7333333333333333	0.9927007299270073	1.0	1.0	15	411	341	190	0.5701754385964912	0.7982456140350878	0.7724137931034483	0.9674657534246576	257	0
mp_hp	BM25	1561	0.37860345932094813	0.766175528507367	0.8026905829596412	0.8257527226137091	0.0	0.19202898550724637	0.6866952789699571	0.9411764705882353	0.013513513513513514	0.7379227053140096	0.9957081545064378	1.0	0.013513513513513514	0.8055555555555556	0.9978540772532188	1.0	0.02027027027027027	0.8466183574879227	1.0	1.0	148	828	466	119	0.171021377672209	0.16346153846153846	0.4732824427480916	0.6482758620689655	2	1
mp_hp	TF-IDF	1555	0.357556270096463	0.7742765273311897	0.8160771704180064	0.8418006430868167	0.0	0.18840579710144928	0.6158798283261803	0.9495798319327731	0.0	0.751207729468599	0.9935622317596566	1.0	0.0	0.8297101449275363	0.9935622317596566	1.0	0.0	0.8756038647342995	0.9978540772532188	1.0	142	828	466	119	0.13975903614457832	0.17307692307692307	0.4351145038167939	0.6275862068965518	8	1
mp_hp	Base SapBERT	1561	0.3292761050608584	0.846252402306214	0.8853299167200512	0.9109545163356823	0.06756756756756757	0.23550724637681159	0.5042918454935622	0.6218487394957983	0.39864864864864863	0.8297101449275363	0.98068669527897	0.9915966386554622	0.5405405405405406	0.8707729468599034	0.9935622317596566	0.9915966386554622	0.6013513513513513	0.9057971014492754	0.9978540772532188	0.9915966386554622	148	828	466	119	0.17339667458432304	0.18269230769230768	0.40966921119592875	0.5126436781609195	2	1
mp_hp	Base SapBERT + boost	1561	0.4189622037155669	0.8481742472773863	0.885970531710442	0.9109545163356823	0.06756756756756757	0.29106280193236717	0.6545064377682404	0.8235294117647058	0.39864864864864863	0.8297101449275363	0.9871244635193133	0.9915966386554622	0.5405405405405406	0.8707729468599034	0.9957081545064378	0.9915966386554622	0.6013513513513513	0.9057971014492754	0.9978540772532188	0.9915966386554622	148	828	466	119	0.21140142517814728	0.1891025641025641	0.44274809160305345	0.7632183908045977	2	1
mp_hp	Fine-tuned SapBERT (no boost)	1561	0.48110185778347214	0.9109545163356823	0.9365791159513133	0.9551569506726457	0.06756756756756757	0.3647342995169082	0.7167381974248928	0.8823529411764706	0.6081081081081081	0.9033816425120773	0.9978540772532188	1.0	0.6486486486486487	0.9432367149758454	1.0	1.0	0.722972972972973	0.964975845410628	1.0	1.0	148	828	466	119	0.2684085510688836	0.2980769230769231	0.5368956743002544	0.767816091954023	2	1
mp_hp	LeonMap (fine-tuned + boost)	1561	0.518257527226137	0.9109545163356823	0.9365791159513133	0.9551569506726457	0.06756756756756757	0.38164251207729466	0.796137339055794	0.9411764705882353	0.6081081081081081	0.9033816425120773	0.9978540772532188	1.0	0.6486486486486487	0.9432367149758454	1.0	1.0	0.722972972972973	0.964975845410628	1.0	1.0	148	828	466	119	0.2850356294536817	0.2916666666666667	0.5572519083969466	0.871264367816092	2	1
